GAME_DATE,MATCHUP,PTS,REB,AST,BLK,PLAYER_NAME,POINTS_THRESHOLD,REBOUNDS_THRESHOLD,BLOCKS_THRESHOLD,ASSISTS_THRESHOLD
"DEC 30, 2024",NYK @ WAS,2,4,0,1,Precious Achiuwa,0,0,1,0
"DEC 28, 2024",NYK @ WAS,3,7,2,0,Precious Achiuwa,0,1,0,0
"DEC 27, 2024",NYK @ ORL,6,6,1,1,Precious Achiuwa,0,1,1,0
"DEC 25, 2024",NYK vs. SAS,5,10,1,1,Precious Achiuwa,0,1,1,0
"DEC 23, 2024",NYK vs. TOR,5,7,2,1,Precious Achiuwa,0,1,1,0
"DEC 21, 2024",NYK @ NOP,2,7,1,1,Precious Achiuwa,0,1,1,0
"DEC 19, 2024",NYK @ MIN,13,10,2,0,Precious Achiuwa,1,1,0,0
"DEC 15, 2024",NYK @ ORL,4,5,0,0,Precious Achiuwa,0,1,0,0
"DEC 11, 2024",NYK vs. ATL,2,5,1,2,Precious Achiuwa,0,1,1,0
"DEC 09, 2024",NYK @ TOR,7,6,0,2,Precious Achiuwa,0,1,1,0
"DEC 07, 2024",NYK vs. DET,6,10,4,1,Precious Achiuwa,0,1,1,1
"DEC 05, 2024",NYK vs. CHA,2,4,1,0,Precious Achiuwa,0,0,0,0
"DEC 29, 2024",HOU vs. MIA,4,9,3,0,Steven Adams,0,1,0,1
"DEC 27, 2024",HOU vs. MIN,0,1,1,0,Steven Adams,0,0,0,0
"DEC 26, 2024",HOU @ NOP,2,5,0,1,Steven Adams,0,1,1,0
"DEC 23, 2024",HOU @ CHA,2,8,3,1,Steven Adams,0,1,1,1
"DEC 19, 2024",HOU vs. NOP,2,4,1,0,Steven Adams,0,0,0,0
"DEC 14, 2024",HOU @ OKC,4,6,0,0,Steven Adams,0,1,0,0
"DEC 08, 2024",HOU @ LAC,4,4,0,0,Steven Adams,0,0,0,0
"DEC 05, 2024",HOU @ GSW,6,6,3,1,Steven Adams,0,1,1,1
"DEC 03, 2024",HOU @ SAC,1,6,0,0,Steven Adams,0,1,0,0
"DEC 01, 2024",HOU vs. OKC,1,1,0,0,Steven Adams,0,0,0,0
"NOV 27, 2024",HOU @ PHI,2,4,0,1,Steven Adams,0,0,1,0
"NOV 22, 2024",HOU vs. POR,1,1,3,0,Steven Adams,0,0,0,1
"NOV 18, 2024",HOU @ MIL,2,2,0,0,Steven Adams,0,0,0,0
"NOV 15, 2024",HOU vs. LAC,0,0,0,0,Steven Adams,0,0,0,0
"NOV 11, 2024",HOU vs. WAS,2,7,1,0,Steven Adams,0,1,0,0
"NOV 08, 2024",HOU @ OKC,5,2,1,0,Steven Adams,0,0,0,0
"NOV 04, 2024",HOU vs. NYK,4,5,3,0,Steven Adams,0,1,0,1
"OCT 31, 2024",HOU @ DAL,0,1,3,0,Steven Adams,0,0,0,1
"OCT 28, 2024",HOU @ SAS,6,3,0,0,Steven Adams,0,0,0,0
"DEC 29, 2024",MIA @ HOU,12,10,1,0,Bam Adebayo,1,1,0,0
"DEC 28, 2024",MIA @ ATL,17,10,2,2,Bam Adebayo,1,1,1,0
"DEC 26, 2024",MIA @ ORL,4,9,7,5,Bam Adebayo,0,1,1,1
"DEC 23, 2024",MIA vs. BKN,23,7,7,0,Bam Adebayo,1,1,0,1
"DEC 21, 2024",MIA @ ORL,23,6,0,0,Bam Adebayo,1,1,0,0
"DEC 20, 2024",MIA vs. OKC,17,10,1,1,Bam Adebayo,1,1,1,0
"DEC 16, 2024",MIA @ DET,15,8,3,0,Bam Adebayo,1,1,0,1
"DEC 12, 2024",MIA vs. TOR,21,16,5,1,Bam Adebayo,1,1,1,1
"DEC 08, 2024",MIA vs. CLE,16,13,6,1,Bam Adebayo,1,1,1,1
"DEC 07, 2024",MIA vs. PHX,25,12,8,0,Bam Adebayo,1,1,0,1
"DEC 04, 2024",MIA vs. LAL,14,10,7,1,Bam Adebayo,1,1,1,1
"DEC 02, 2024",MIA @ BOS,15,8,5,0,Bam Adebayo,1,1,0,1
"DEC 01, 2024",MIA @ TOR,13,20,7,0,Bam Adebayo,1,1,0,1
"NOV 29, 2024",MIA vs. TOR,14,10,10,0,Bam Adebayo,1,1,0,1
"NOV 27, 2024",MIA @ CHA,8,10,10,0,Bam Adebayo,0,1,0,1
"NOV 26, 2024",MIA vs. MIL,16,5,5,0,Bam Adebayo,1,1,0,1
"NOV 24, 2024",MIA vs. DAL,19,11,5,0,Bam Adebayo,1,1,0,1
"NOV 18, 2024",MIA vs. PHI,5,13,3,1,Bam Adebayo,0,1,1,1
"NOV 17, 2024",MIA @ IND,24,8,2,0,Bam Adebayo,1,1,0,0
"NOV 15, 2024",MIA @ IND,30,11,7,0,Bam Adebayo,1,1,0,1
"NOV 12, 2024",MIA @ DET,20,12,3,1,Bam Adebayo,1,1,1,1
"NOV 10, 2024",MIA @ MIN,9,7,7,3,Bam Adebayo,0,1,1,1
"NOV 08, 2024",MIA @ DEN,20,9,4,0,Bam Adebayo,1,1,0,1
"NOV 06, 2024",MIA @ PHX,12,12,6,1,Bam Adebayo,1,1,1,1
"NOV 04, 2024",MIA vs. SAC,16,8,5,4,Bam Adebayo,1,1,1,1
"NOV 02, 2024",MIA @ WAS,32,14,2,1,Bam Adebayo,1,1,1,0
"OCT 30, 2024",MIA vs. NYK,11,3,4,0,Bam Adebayo,1,0,0,1
"OCT 28, 2024",MIA vs. DET,12,10,4,3,Bam Adebayo,1,1,1,1
"OCT 26, 2024",MIA @ CHA,12,11,3,1,Bam Adebayo,1,1,1,1
"OCT 23, 2024",MIA vs. ORL,9,5,1,0,Bam Adebayo,0,1,0,0
"DEC 29, 2024",TOR vs. ATL,3,4,3,0,Ochai Agbaji,0,0,0,1
"DEC 26, 2024",TOR @ MEM,10,0,2,0,Ochai Agbaji,1,0,0,0
"DEC 23, 2024",TOR @ NYK,4,2,1,0,Ochai Agbaji,0,0,0,0
"DEC 22, 2024",TOR vs. HOU,15,5,1,0,Ochai Agbaji,1,1,0,0
"DEC 19, 2024",TOR vs. BKN,20,5,1,0,Ochai Agbaji,1,1,0,0
"DEC 16, 2024",TOR vs. CHI,15,3,0,1,Ochai Agbaji,1,0,1,0
"DEC 12, 2024",TOR @ MIA,13,3,0,0,Ochai Agbaji,1,0,0,0
"DEC 09, 2024",TOR vs. NYK,7,5,4,0,Ochai Agbaji,0,1,0,1
"DEC 07, 2024",TOR vs. DAL,4,2,0,0,Ochai Agbaji,0,0,0,0
"DEC 05, 2024",TOR vs. OKC,5,0,2,0,Ochai Agbaji,0,0,0,0
"DEC 03, 2024",TOR vs. IND,13,3,2,1,Ochai Agbaji,1,0,1,0
"DEC 01, 2024",TOR vs. MIA,7,5,3,1,Ochai Agbaji,0,1,1,1
"NOV 29, 2024",TOR @ MIA,13,5,3,0,Ochai Agbaji,1,1,0,1
"NOV 27, 2024",TOR @ NOP,24,6,2,1,Ochai Agbaji,1,1,1,0
"NOV 25, 2024",TOR @ DET,0,1,1,0,Ochai Agbaji,0,0,0,0
"NOV 24, 2024",TOR @ CLE,9,5,1,0,Ochai Agbaji,0,1,0,0
"NOV 21, 2024",TOR vs. MIN,4,0,1,0,Ochai Agbaji,0,0,0,0
"NOV 18, 2024",TOR vs. IND,11,4,6,3,Ochai Agbaji,1,0,1,1
"NOV 16, 2024",TOR @ BOS,13,6,3,1,Ochai Agbaji,1,1,1,1
"NOV 15, 2024",TOR vs. DET,9,3,1,0,Ochai Agbaji,0,0,0,0
"NOV 12, 2024",TOR @ MIL,8,7,1,1,Ochai Agbaji,0,1,1,0
"NOV 10, 2024",TOR @ LAL,16,6,1,1,Ochai Agbaji,1,1,1,0
"NOV 09, 2024",TOR @ LAC,21,7,3,0,Ochai Agbaji,1,1,0,1
"NOV 06, 2024",TOR @ SAC,12,2,2,0,Ochai Agbaji,1,0,0,0
"NOV 04, 2024",TOR @ DEN,16,5,4,0,Ochai Agbaji,1,1,0,1
"NOV 02, 2024",TOR vs. SAC,22,5,2,1,Ochai Agbaji,1,1,1,0
"NOV 01, 2024",TOR vs. LAL,8,2,3,0,Ochai Agbaji,0,0,0,1
"OCT 30, 2024",TOR @ CHA,10,3,3,2,Ochai Agbaji,1,0,1,1
"OCT 28, 2024",TOR vs. DEN,15,7,0,1,Ochai Agbaji,1,1,1,0
"OCT 26, 2024",TOR @ MIN,19,2,2,0,Ochai Agbaji,1,0,0,0
"OCT 25, 2024",TOR vs. PHI,12,8,1,0,Ochai Agbaji,1,1,0,0
"OCT 23, 2024",TOR vs. CLE,3,6,1,1,Ochai Agbaji,0,1,1,0
"DEC 26, 2024",MEM vs. TOR,4,3,0,0,Santi Aldama,0,0,0,0
"DEC 23, 2024",MEM vs. LAC,11,7,3,2,Santi Aldama,1,1,1,1
"DEC 21, 2024",MEM @ ATL,10,6,4,0,Santi Aldama,1,1,0,1
"DEC 19, 2024",MEM vs. GSW,21,14,4,1,Santi Aldama,1,1,1,1
"DEC 15, 2024",MEM @ LAL,6,3,0,1,Santi Aldama,0,0,1,0
"DEC 13, 2024",MEM vs. BKN,20,6,0,0,Santi Aldama,1,1,0,0
"DEC 08, 2024",MEM @ WAS,19,7,5,3,Santi Aldama,1,1,1,1
"DEC 07, 2024",MEM @ BOS,9,6,1,0,Santi Aldama,0,1,0,0
"DEC 05, 2024",MEM vs. SAC,15,10,0,0,Santi Aldama,1,1,0,0
"DEC 03, 2024",MEM @ DAL,15,8,3,1,Santi Aldama,1,1,1,1
"DEC 01, 2024",MEM vs. IND,15,4,6,0,Santi Aldama,1,0,0,1
"NOV 29, 2024",MEM vs. NOP,20,6,4,1,Santi Aldama,1,1,1,1
"NOV 27, 2024",MEM vs. DET,9,6,1,0,Santi Aldama,0,1,0,0
"NOV 25, 2024",MEM vs. POR,13,17,2,0,Santi Aldama,1,1,0,0
"NOV 23, 2024",MEM @ CHI,10,10,5,0,Santi Aldama,1,1,0,1
"NOV 20, 2024",MEM vs. PHI,12,6,6,0,Santi Aldama,1,1,0,1
"NOV 19, 2024",MEM vs. DEN,28,11,0,0,Santi Aldama,1,1,0,0
"NOV 17, 2024",MEM vs. DEN,6,2,2,1,Santi Aldama,0,0,1,0
"NOV 15, 2024",MEM @ GSW,4,3,0,1,Santi Aldama,0,0,1,0
"NOV 13, 2024",MEM @ LAL,15,7,5,1,Santi Aldama,1,1,1,1
"NOV 10, 2024",MEM @ POR,16,6,6,0,Santi Aldama,1,1,0,1
"NOV 08, 2024",MEM vs. WAS,12,5,4,0,Santi Aldama,1,1,0,1
"NOV 06, 2024",MEM vs. LAL,11,12,3,0,Santi Aldama,1,1,0,1
"NOV 04, 2024",MEM @ BKN,9,6,5,0,Santi Aldama,0,1,0,1
"NOV 02, 2024",MEM @ PHI,10,13,4,1,Santi Aldama,1,1,1,1
"OCT 31, 2024",MEM vs. MIL,19,9,2,0,Santi Aldama,1,1,0,0
"OCT 30, 2024",MEM vs. BKN,2,3,0,0,Santi Aldama,0,0,0,0
"OCT 28, 2024",MEM vs. CHI,11,13,7,1,Santi Aldama,1,1,1,1
"OCT 26, 2024",MEM vs. ORL,22,7,5,1,Santi Aldama,1,1,1,1
"OCT 25, 2024",MEM @ HOU,2,5,3,2,Santi Aldama,0,1,1,1
"OCT 23, 2024",MEM @ UTA,27,5,2,0,Santi Aldama,1,1,0,0
"DEC 23, 2024",DEN vs. PHX,0,0,1,0,Trey Alexander,0,0,0,0
"DEC 08, 2024",DEN @ ATL,2,0,0,0,Trey Alexander,0,0,0,0
"NOV 27, 2024",DEN @ UTA,0,0,0,0,Trey Alexander,0,0,0,0
"NOV 25, 2024",DEN vs. NYK,2,0,1,1,Trey Alexander,0,0,1,0
"NOV 23, 2024",DEN @ LAL,3,0,0,0,Trey Alexander,0,0,0,0
"NOV 22, 2024",DEN vs. DAL,0,0,0,0,Trey Alexander,0,0,0,0
"NOV 19, 2024",DEN @ MEM,0,0,1,0,Trey Alexander,0,0,0,0
